_id,Inspections.ClosedDate,inspections.OpenedDate,latitude,longitude,propertyAddress,propertyWard,violations.violationDescription,violations.violationFireCode
161371,2017-05-26T13:30:52,2017-01-13T10:30:55,43.682320000000004,-79.41848,21 Vaughan Rd,12,2.8.2.5 Posting fire emergency procedures,2.8.2.5
161372,2017-05-26T13:30:52,2017-01-13T10:30:55,43.682320000000004,-79.41848,21 Vaughan Rd,12,9.6.3.6 Exit signs,9.6.3.6
161373,2017-01-12T15:30:51,2017-01-10T15:00:32,43.67087,-79.3728,77 Howard St,13,,
161374,2017-04-20T00:00:00,2017-01-09T00:00:00,43.77414,-79.34294,110 Parkway Forest Dr,17,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161375,2017-01-16T17:15:29,2017-01-12T13:34:00,43.747479999999996,-79.58332,2645 Kipling Ave,1,,
161376,2017-04-06T13:00:42,2017-01-18T10:39:37,43.75979,-79.50901999999999,10 Tobermory Dr,7,2.16.2.1 Installation requirements,2.16.2.1
161377,2017-01-16T15:19:23,2017-01-16T15:19:23,43.66565,-79.38594,11 St Joseph St,13,,
161378,2017-03-09T14:53:18,2017-02-15T12:32:20,43.70823,-79.39968,38 Orchard View Blvd,8,,
161379,2017-04-26T14:57:58,2017-01-19T11:15:00,43.71706,-79.33008000000001,1 Deauville Lane,16,2.2.3.2 Maintenance of closures,2.2.3.2
161380,2017-05-17T14:22:04,2017-01-23T11:16:17,43.72433,-79.51474,160 Chalkfarm Dr,7,2.2.3.2 Maintenance of closures,2.2.3.2
161381,2017-01-25T10:25:19,2017-01-24T08:46:21,43.67399,-79.4033,280 St George St,11,,
161382,2017-03-23T15:01:44,2017-01-25T00:00:00,43.63701,-79.40557,219 Fort York Blvd,10,6.2.1.2 Maintenance,6.2.1.2
161383,2018-04-11T12:00:00,2017-03-15T12:00:00,43.63671,-79.40008,600 Fleet St,10,2.7.3.1 Exit signs,2.7.3.1
161384,2018-04-11T12:00:00,2017-03-15T12:00:00,43.63671,-79.40008,600 Fleet St,10,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",6.5.1.1
161385,2017-08-02T11:00:00,2017-03-14T00:00:00,43.63766,-79.40235,50 Bruyeres Mews,10,2.2.3.3 Operation of closures,2.2.3.3
161386,2017-11-21T12:00:00,2017-03-15T12:00:00,43.636379999999996,-79.40276,628 Fleet St,10,2.3.2.1 Flame resistance of textiles,2.3.2.1
161387,2017-02-15T15:25:01,2017-01-25T14:48:29,43.77425,-79.34618,66 Forest Manor Rd,17,6.6.4.1 Hydrants,6.6.4.1
161388,2017-04-26T12:30:22,2017-02-15T12:00:02,43.77762,-79.30996999999999,3275 Sheppard Ave E,22,2.2.3.2 Maintenance of closures,2.2.3.2
161389,2017-01-31T16:36:05,2017-01-27T14:00:06,43.64723,-79.37151,2 Market St,10,,
161390,2017-02-08T08:19:18,2017-01-27T09:15:19,43.6593,-79.37092,251 Sherbourne St,13,7.2.5.1 Maintenance of certain fire emergency systems,7.2.5.1
161391,2017-02-07T10:00:11,2017-01-30T15:00:09,43.66908,-79.37172,260 Wellesley St E,13,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161392,2017-11-06T14:30:55,2017-01-31T16:22:01,43.66537,-79.34485,444 Logan Ave,14,2.16.2.1 Installation requirements,2.16.2.1
161393,2017-02-07T09:15:07,2017-02-03T13:45:47,43.66939,-79.37437,325 Bleecker St,13,,
161394,2019-01-15T12:29:40,2017-02-01T12:30:31,43.6979,-79.4386,1463 Eglinton Ave W,12,9.6.3.4(2)                                                      ,9.6.3.4(2)                                                      
161395,2018-09-12T16:46:48,2017-02-02T16:23:04,43.65617,-79.39143,200 Elm St,11,2.8.2.1 Measures in a fire safety plan,2.8.2.1
161396,2018-09-12T16:46:48,2017-02-02T16:23:04,43.65617,-79.39143,200 Elm St,11,9.6.4.2 Automatic detection,9.6.4.2
161397,2018-06-20T16:30:39,2017-10-23T12:00:51,43.674859999999995,-79.39825,250 Davenport Rd,11,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),1.1.2.3./6.2.7.5.
161398,2018-06-20T16:30:39,2017-10-23T12:00:51,43.674859999999995,-79.39825,250 Davenport Rd,11,1.1.2.3./6.7.1.1. Records of Test (Emergency Power Systems),1.1.2.3./6.7.1.1.
161399,2018-06-20T16:30:39,2017-10-23T12:00:51,43.674859999999995,-79.39825,250 Davenport Rd,11,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161400,2018-01-03T11:24:37,2017-09-20T16:21:38,43.638690000000004,-79.38915,350 Queens Quay W,10,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161401,2018-01-26T16:47:15,2017-04-13T11:32:37,43.669309999999996,-79.40009,149 St George St,11,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),1.1.2.3./6.3.2.2.
161402,2018-01-26T16:47:15,2017-04-13T11:32:37,43.669309999999996,-79.40009,149 St George St,11,2.2.3.1 Damaged closures,2.2.3.1
161403,2018-04-19T09:18:42,2017-04-27T08:12:23,43.65123,-79.39048000000001,22 Mc Caul St,10,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161404,2017-06-13T13:18:28,2017-04-04T11:11:18,43.67272,-79.40239,250 St George St,11,2.2.3.2 Maintenance of closures,2.2.3.2
161405,2018-09-12T16:49:10,2017-02-02T16:24:03,43.65614,-79.39188,222 Elm St,11,9.6.2.6 Protection of openings in fire separations,9.6.2.6
161406,2018-07-26T16:20:28,2017-04-20T09:01:42,43.66946,-79.39860999999999,50 Prince Arthur Ave,11,1.1.2.3./2.7.3.3.(3) Records of Test (Emergency Lighting),1.1.2.3./2.7.3.3.(3)
161407,2017-11-01T10:21:36,2017-04-26T14:06:05,43.66975,-79.4003,85 Lowther Ave,11,2.7.2.1 Door release hardware,2.7.2.1
161408,2017-11-01T10:21:36,2017-04-26T14:06:05,43.66975,-79.4003,85 Lowther Ave,11,2.8.2.1 Measures in a fire safety plan,2.8.2.1
161409,2017-11-01T10:21:36,2017-04-26T14:06:05,43.66975,-79.4003,85 Lowther Ave,11,9.6.3.4 Stairway separations,9.6.3.4
161410,2017-05-25T11:00:32,2017-03-09T16:43:35,43.67116,-79.40091,177 St George St,11,2.2.3.2 Maintenance of closures,2.2.3.2
161411,2017-03-15T16:36:56,2017-03-15T16:36:56,43.72889,-79.54672,75 Tandridge Cres,1,,
161412,2017-02-21T17:25:58,2017-01-13T16:40:34,43.65019,-79.49401999999999,39 Old Mill Rd,3,,
161413,2018-04-24T13:00:00,2018-04-23T12:50:57,43.6727,-79.49068,190 Woolner Ave,5,,
161414,2017-04-25T08:32:49,2017-01-30T13:49:02,43.74388,-79.5867,60 Stevenson Rd,1,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),1.1.2.3./6.3.2.2.
161415,2017-11-30T16:38:16,2017-01-26T09:45:44,43.6674,-79.3827,60 Gloucester St,13,2.2.2.1 Damaged fire separations,2.2.2.1
161416,2017-08-30T12:30:33,2017-01-27T11:31:42,43.76765,-79.28285,1950 Kennedy Rd,21,2.4.1.1 Accumulation of combustible materials,2.4.1.1
161417,2017-01-04T16:18:32,2017-01-04T15:37:52,43.72755,-79.25131,40 Gordonridge Pl,20,,
161418,2017-09-07T16:03:06,2017-01-04T14:15:57,43.64627,-79.37612,8 The Esplanade,13,6.6.3.3 Inspection of fire pumps,6.6.3.3
161419,2017-01-05T11:19:44,2017-01-05T11:19:44,43.68925,-79.4925,30 Denarda St,5,,
161420,2017-01-26T15:37:55,2017-01-03T15:49:04,43.81049,-79.22029,480 McLevin Ave,25,1.1.2.3./6.3.2.6. Records of Test (Smoke Alarms),1.1.2.3./6.3.2.6.
161421,2017-03-31T00:00:00,2017-01-04T00:00:00,43.76918,-79.36978,15 Singer Crt,17,,
161422,2017-02-16T16:36:51,2017-01-05T09:32:00,43.71955,-79.32497,20 Edgecliff Golfway,16,1.1.2.3./6.5.5.3. Records of Test (Water Flow Test),1.1.2.3./6.5.5.3.
161423,2017-05-26T13:30:52,2017-01-13T10:30:55,43.682320000000004,-79.41848,21 Vaughan Rd,12,2.2.3.3 Operation of closures,2.2.3.3
161424,2017-05-26T13:30:52,2017-01-13T10:30:55,43.682320000000004,-79.41848,21 Vaughan Rd,12,2.7.3.2 Exit Signs,2.7.3.2
161425,2017-05-26T13:30:52,2017-01-13T10:30:55,43.682320000000004,-79.41848,21 Vaughan Rd,12,6.5.3.4 Sprinkler heads,6.5.3.4
161426,2017-02-07T13:24:52,2017-01-10T16:52:57,43.67249,-79.49240999999999,210 Woolner Ave,5,,
161427,2017-02-03T17:02:20,2017-01-09T10:00:34,43.688159999999996,-79.35162,80 Gowan Ave,14,,
161428,2017-01-27T10:11:18,2017-01-18T17:15:42,43.799440000000004,-79.14853000000001,11753 Sheppard Ave E,25,,
161429,2017-01-19T00:00:39,2017-01-10T00:00:24,43.65657,-79.46738,100 High Park Ave,4,,
161430,2017-02-13T16:58:11,2017-01-16T16:11:57,43.74726,-79.51337,355 Grandravine Dr,7,,
161431,2017-01-13T10:12:19,2017-01-13T09:53:50,43.677170000000004,-79.34213000000001,98 Cavell Ave,14,,
161432,2017-01-26T17:19:14,2017-01-18T15:55:23,43.62975,-79.47547,5 Marine Parade Dr,3,,
161433,2017-01-20T00:00:00,2017-01-20T00:00:00,43.64006,-79.37849,55 Harbour Sq,10,,
161434,2017-02-14T16:26:27,2017-02-14T16:26:27,43.72208,-79.54394,236 Albion Rd,1,,
161435,2017-03-23T15:01:44,2017-01-25T00:00:00,43.63701,-79.40557,219 Fort York Blvd,10,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),1.1.2.3./6.2.7.5.
161436,2017-03-23T15:01:44,2017-01-25T00:00:00,43.63701,-79.40557,219 Fort York Blvd,10,2.2.3.2 Maintenance of closures,2.2.3.2
161437,2017-06-29T00:00:00,2017-02-16T00:00:00,43.63661,-79.40486,215 Fort York Blvd,10,"6.4.1.6 Inspection, testing and maintenance",6.4.1.6
161438,2018-04-11T12:00:00,2017-03-15T12:00:00,43.63671,-79.40008,600 Fleet St,10,2.4.1.1 Accumulation of combustible materials,2.4.1.1
161439,2017-08-02T11:00:00,2017-03-14T00:00:00,43.63766,-79.40235,50 Bruyeres Mews,10,6.2.4.1 Where portable extinguishers required,6.2.4.1
161440,2017-11-21T12:00:00,2017-03-15T12:00:00,43.636379999999996,-79.40276,628 Fleet St,10,2.2.2.1 Damaged fire separations,2.2.2.1
161441,2017-03-29T08:30:42,2017-01-25T16:11:16,43.69513,-79.44695,633 Northcliffe Blvd,12,6.4.2.6 Standpipe identification,6.4.2.6
161442,2017-01-25T14:12:20,2017-01-25T14:12:20,43.77507,-79.34578,70 Forest Manor Rd,17,,
161443,2017-01-31T16:15:19,2017-01-25T07:36:49,43.639990000000004,-79.58458,335 Mill Rd,2,,
161444,2017-04-11T09:28:59,2017-01-30T08:48:48,43.7667,-79.19502,4110 Lawrence Ave E,24,,
161445,2019-01-15T12:29:40,2017-02-01T12:30:31,43.6979,-79.4386,1463 Eglinton Ave W,12,2.2.3.2 Maintenance of closures,2.2.3.2
161446,2018-03-07T13:06:40,2017-10-17T08:55:16,43.67002,-79.39771,25 Bedford Rd,11,5.6.1.2 Protection against mechanical damage,5.6.1.2
161447,2018-06-27T16:46:04,2017-10-04T13:59:59,43.66703,-79.40077,341 Bloor St W,11,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),1.1.2.3./6.2.7.5.
161448,2018-04-18T13:40:34,2017-06-08T08:57:29,43.66957,-79.40463000000001,59 Spadina Rd,11,2.2.2.1 Damaged fire separations,2.2.2.1
161449,2018-04-18T13:40:34,2017-06-08T08:57:29,43.66957,-79.40463000000001,59 Spadina Rd,11,2.7.3.2 Exit Signs,2.7.3.2
161450,2018-01-26T16:47:15,2017-04-13T11:32:37,43.669309999999996,-79.40009,149 St George St,11,1.1.2.3./6.2.7.5. Records of Test (Fire Extinguishers),1.1.2.3./6.2.7.5.
161451,2018-01-26T16:47:15,2017-04-13T11:32:37,43.669309999999996,-79.40009,149 St George St,11,2.8.2.5 Posting fire emergency procedures,2.8.2.5
161452,2017-05-30T13:23:36,2017-04-04T11:19:00,43.67157,-79.4011,191 St George St,11,6.3.3.3 Duty to maintain in operating condition,6.3.3.3
161453,2018-04-19T09:18:42,2017-04-27T08:12:23,43.65123,-79.39048000000001,22 Mc Caul St,10,"6.5.1.1 Repair, replacement, alterations, inspection, testing and maintenance",6.5.1.1
161454,2018-07-05T14:16:39,2017-07-21T15:15:20,43.66901,-79.40187,485 Huron St,11,2.4.1.1 Accumulation of combustible materials,2.4.1.1
161455,2018-07-05T14:16:39,2017-07-21T15:15:20,43.66901,-79.40187,485 Huron St,11,9.6.2.7 Storage rooms,9.6.2.7
161456,2017-10-18T08:26:25,2017-05-04T10:51:33,43.6696,-79.40021,153 St George St,11,2.2.3.2 Maintenance of closures,2.2.3.2
161457,2018-07-26T16:20:28,2017-04-20T09:01:42,43.66946,-79.39860999999999,50 Prince Arthur Ave,11,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),1.1.2.3./6.3.2.2.
161458,2018-07-26T16:20:28,2017-04-20T09:01:42,43.66946,-79.39860999999999,50 Prince Arthur Ave,11,9.6.2.6 Protection of openings in fire separations,9.6.2.6
161459,2017-01-26T15:26:06,2017-01-05T15:51:44,43.80881,-79.26548000000001,25 Thunder Grv,23,2.2.3.2 Maintenance of closures,2.2.3.2
161460,2017-09-26T16:20:22,2017-09-26T16:20:22,43.76724,-79.18881,4175 Lawrence Ave E,24,,
161461,2017-02-01T12:57:54,2017-02-01T12:57:54,43.71621,-79.50474,20 Falstaff Ave,5,,
161462,2017-01-13T09:12:40,2017-01-12T08:57:37,43.7143,-79.26921,3479 St Clair Ave E,20,,
161463,2017-05-30T14:08:37,2017-01-05T11:49:39,43.69721,-79.28644,40 Teesdale Pl,20,,
161464,2017-08-30T12:30:33,2017-01-27T11:31:42,43.76765,-79.28285,1950 Kennedy Rd,21,1.1.2.3 Records to be made available on request,1.1.2.3
161465,2018-01-30T16:40:36,2017-01-19T08:55:03,43.76424,-79.41274,100 Upper Madison Ave,18,1.1.2.3 Records to be made available on request,1.1.2.3
161466,2017-09-11T12:41:47,2017-01-04T09:39:33,43.70278,-79.37451,1460 Bayview Ave,15,"1.1.1.2 Check, inspect and test",1.1.1.2
161467,2017-01-05T13:08:12,2017-01-05T13:08:12,43.6656,-79.44723,816 Lansdowne Ave,9,,
161468,2017-05-26T13:30:52,2017-01-13T10:30:55,43.682320000000004,-79.41848,21 Vaughan Rd,12,6.3.3.3 Duty to maintain in operating condition,6.3.3.3
161469,2017-05-04T09:15:36,2017-01-17T00:00:00,43.649190000000004,-79.42351,1239 Dundas St W,10,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),1.1.2.3./6.3.2.2.
161470,2017-05-04T09:15:36,2017-01-17T00:00:00,43.649190000000004,-79.42351,1239 Dundas St W,10,1.1.2.3./6.4.3.5. Records of Test (Flow and Pressure Tests),1.1.2.3./6.4.3.5.
161471,2017-07-05T14:00:00,2017-01-11T00:00:00,43.65587,-79.40857,301 Markham St,11,2.4.1.1 Accumulation of combustible materials,2.4.1.1
161472,2017-07-05T14:00:00,2017-01-11T00:00:00,43.65587,-79.40857,301 Markham St,11,6.2.7.3 Defective extinguishers,6.2.7.3
161473,2017-04-06T13:00:42,2017-01-18T10:39:37,43.75979,-79.50901999999999,10 Tobermory Dr,7,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161474,2017-01-26T07:42:00,2017-01-18T15:29:51,43.74358,-79.56699,2765 Islington Ave,1,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161475,2017-01-16T13:11:46,2017-01-16T13:11:46,43.71993,-79.60344,900 Queens Plate Dr,1,,
161476,2017-03-23T12:59:10,2017-01-16T15:42:20,43.7447,-79.21876999999999,215 Markham Rd,24,6.4.2.7 Hose cabinets,6.4.2.7
161477,2017-01-25T16:53:23,2017-01-17T16:31:03,43.71993,-79.60344,900 Queens Plate Dr,1,,
161478,2017-02-03T16:00:29,2017-01-24T10:00:54,43.66207,-79.37699,111 Carlton St,13,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161479,2017-01-17T15:36:07,2017-01-17T15:36:07,43.66028,-79.3823,423 Yonge St,13,,
161480,2017-02-21T14:59:24,2017-02-08T11:49:43,43.75655,-79.48978000000001,3710 Keele St,7,"2.7.2.2 Requirements for locking, latching and fastening devices",2.7.2.2
161481,2017-01-26T10:39:27,2017-01-25T11:33:59,43.70231,-79.52416,2100 Weston Rd,5,2.2.3.2 Maintenance of closures,2.2.3.2
161482,2017-03-23T15:01:44,2017-01-25T00:00:00,43.63701,-79.40557,219 Fort York Blvd,10,1.1.2.3./6.3.2.2. Records of Test (Fire Alarm),1.1.2.3./6.3.2.2.
161483,2017-03-23T15:01:44,2017-01-25T00:00:00,43.63701,-79.40557,219 Fort York Blvd,10,6.5.1.5 Obstructions,6.5.1.5
161484,2018-04-11T12:00:00,2017-03-15T12:00:00,43.63671,-79.40008,600 Fleet St,10,6.3.2.2 Fire alarm systems,6.3.2.2
161485,2017-08-02T11:00:00,2017-03-14T00:00:00,43.63766,-79.40235,50 Bruyeres Mews,10,2.2.2.1 Damaged fire separations,2.2.2.1
161486,2017-11-21T12:00:00,2017-03-15T12:00:00,43.636379999999996,-79.40276,628 Fleet St,10,2.7.1.7 Maintenance and lighting for exits,2.7.1.7
161487,2017-11-21T12:00:00,2017-03-15T12:00:00,43.636379999999996,-79.40276,628 Fleet St,10,6.4.2.1 Hose stations,6.4.2.1
161488,2017-11-21T12:00:00,2017-03-15T12:00:00,43.636379999999996,-79.40276,628 Fleet St,10,6.4.2.3 Hose stations,6.4.2.3
161489,2017-03-01T15:11:55,2017-01-24T14:18:48,43.65844,-79.37479,279 Jarvis St,13,6.3.1.4 Fire Alarm Maintenance ,6.3.1.4
161490,2017-04-26T12:30:22,2017-02-15T12:00:02,43.77762,-79.30996999999999,3275 Sheppard Ave E,22,"2.7.2.2 Requirements for locking, latching and fastening devices",2.7.2.2
161491,2017-02-03T11:55:49,2017-02-01T13:10:20,43.69565,-79.29128,9 Crescent Pl,19,,
161492,2019-01-15T12:29:40,2017-02-01T12:30:31,43.6979,-79.4386,1463 Eglinton Ave W,12,1.1.2.3./6.5.5.2. Records of Test (Sprinkler Alarm Test),1.1.2.3./6.5.5.2.
161493,2018-09-12T16:46:48,2017-02-02T16:23:04,43.65617,-79.39143,200 Elm St,11,2.2.2.1 Damaged fire separations,2.2.2.1
161494,2018-01-16T09:47:23,2017-11-08T13:52:32,43.67328,-79.40194,88 Bernard Ave,11,2.4.1.5 - Lint traps for laundry equipment,2.4.1.5                                                         
161495,2018-01-16T09:47:23,2017-11-08T13:52:32,43.67328,-79.40194,88 Bernard Ave,11,6.5.1.5 Obstructions,6.5.1.5
161496,2018-03-07T13:06:40,2017-10-17T08:55:16,43.67002,-79.39771,25 Bedford Rd,11,1.1.2.3./6.4.3.3. Records of Test (Standpipe - FD Connection),1.1.2.3./6.4.3.3.
161497,2017-11-30T15:37:53,2017-04-04T16:21:17,43.67027,-79.40054,161 St George St,11,2.2.2.1 Damaged fire separations,2.2.2.1
161498,2017-05-30T13:23:36,2017-04-04T11:19:00,43.67157,-79.4011,191 St George St,11,2.2.3.2 Maintenance of closures,2.2.3.2
161499,2018-04-19T09:18:42,2017-04-27T08:12:23,43.65123,-79.39048000000001,22 Mc Caul St,10,2.8.2.5 Posting fire emergency procedures,2.8.2.5
161500,2018-07-05T14:16:39,2017-07-21T15:15:20,43.66901,-79.40187,485 Huron St,11,6.3.3.3 Duty to maintain in operating condition,6.3.3.3
161501,2017-05-17T08:47:18,2017-04-13T11:33:27,43.669090000000004,-79.39984,145 St George St,11,2.2.2.1 Damaged fire separations,2.2.2.1
